TransactionType,T_SG_FULFILL_TRANSACTION
DocumentType,T_SG_FULFILL_DOCUMENT_TYPE
LOB,
Product,
PlanGroup,
Plan,
PlatformRuleCheck,T_SG_YES_NO
ProducerRuleCheck,T_SG_YES_NO
DNMFlagCheck,T_SG_YES_NO
ProducerExceptionCheck,T_SG_YES_NO
GSTProducerCheck,T_SG_YES_NO
AutoRuleCheck,T_SG_YES_NO
CampaignRuleCheck,T_SG_YES_NO
VoucherRuleCheck,T_SG_YES_NO
CoverTypeRuleCheck,T_SG_YES_NO
MasterRuleStatus,T_SG_FULFILL_RULE_STATUS
TemplateName,	
DocumentClubType,T_SG_FULFILL_DOC_CLUB_TYPE
Recipient,T_SG_FULFILL_RECIPIENT
MarketingLetter,T_SG_LETTER_MASTER_CONFIG
InsertName,T_SG_FULFILL_INSERT_NAME
ExcludeRefulfillFlag,T_SG_YES_NO
CoverTypeCode,
AvailableFlag,T_SG_YES_NO
DNMFlag,T_SG_YES_NO
Platform,T_SG_FULFILL_PLATFORM
ProducerType,
ProducerLetterId,T_SG_LETTER_MASTER_CONFIG
NCDFrom,
NCDTo,
VehicleType,
BubbleBoxLetter,T_SG_LETTER_MASTER_CONFIG
ImportantNoticeFlag,T_SG_YES_NO
OfflineDocumentClubType,T_SG_FULFILL_DOC_CLUB_TYPE
Envelope,T_SG_FULFILL_ENVELOPE
Colour,T_SG_FULFILL_COLOUR
VoucherName,T_SG_FULFILL_VOUCHERMASTER
CampaignCode,
AttachmentType,T_SG_FULFILL_ATTACHMENT_TYPE
AutoFulfillDocumentClubType,T_SG_FULFILL_DOC_CLUB_TYPE
UserGroup,
AutoFulfillFlag,T_SG_YES_NO
AutoFulfillDeliverMode,T_SG_FULFILL_DELIVERY_MODE
CustomerEmailFlag,T_SG_YES_NO
CustomerEmailTemplate,
CustomerSmsFlag,T_SG_YES_NO
CustomerSmsTemplate,
ProducerEmailFlag,T_SG_YES_NO
ProducerEmailTemplate,
ProducerSmsFlag,T_SG_YES_NO
ProducerSmsTemplate,
